WL,K_CHL
385.7333087,0.823117333
385.8678079,0.81280147
386.0407355,0.800387194
386.0023072,0.788413425
387.3174109,0.816912865
386.8093026,0.807475345
388.0809319,0.833010164
388.6538637,0.846760521
389.7413862,0.837581967
389.5377159,0.822973167
389.9639213,0.869018845
389.9027853,0.854849824
389.768286,0.814203082
391.2477777,0.849944183
391.6512754,0.874962953
391.5167762,0.86269885
392.573556,0.851445909
393.1980167,0.883793107
392.7272694,0.871669165
392.5927701,0.862138205
394.5026594,0.895692791
394.2067611,0.881900931
395.4770317,0.923622242
395.4172543,0.909568748
395.4845039,0.899140756
395.9552512,0.942030077
395.5517535,0.890731086
396.6613723,0.958639177
396.7622467,0.982396497
396.896746,0.970622958
398.2417384,0.964063415
398.017573,0.948757814
398.1072392,0.941749755
398.6452361,0.979032629
398.9142346,0.989628814
399.1832331,0.999888612
399.6136307,1.016203373
399.4522316,1.008466476
400.8570015,1.061914606
400.797224,1.047823735
400.797224,1.03773213
400.797224,1.027640525
401.0662225,1.077425776
400.9317233,1.018347839
401.335221,1.088862929
401.6042195,1.100468274
402.0077172,1.112431031
402.2617714,1.148627655
402.1422165,1.134611537
402.1422165,1.124519933
402.994045,1.162643773
403.6828442,1.233310491
403.4872089,1.218371858
403.4872089,1.208280253
403.4872089,1.198188648
403.4872089,1.188097043
403.4872089,1.178005439
403.5768751,1.170212477
404.7873683,1.322427518
404.8322014,1.310878236
404.8322014,1.300786631
404.8322014,1.290695027
404.8322014,1.280603422
404.8322014,1.270511817
404.8322014,1.260420212
404.8322014,1.250328607
404.9667006,1.23833081
405.5046976,1.342750889
405.1011999,1.331397833
405.6391968,1.355954072
405.9081953,1.366550257
406.2780682,1.390265528
406.1771938,1.377482829
406.4461923,1.404561969
406.7151908,1.415662734
406.9841893,1.427828724
407.2531878,1.44044323
407.6566855,1.494629542
407.5221862,1.479744425
407.5221862,1.46965282
407.5221862,1.459561215
407.5894359,1.451235641
409.1361772,1.580324087
409.1361772,1.568214161
409.1361772,1.558122556
409.1361772,1.548030952
409.1361772,1.537939347
409.1361772,1.527847742
409.1361772,1.517756137
409.0593205,1.506679399
409.6741742,1.59327498
410.3658846,1.604712132
410.5147944,1.632043562
410.4811696,1.619176766
410.3466704,1.612280836
411.3329982,1.645639197
412.0682607,1.72123653
411.781329,1.705908504
411.8261621,1.694695609
411.8261621,1.684604005
411.8261621,1.6745124
411.8261621,1.664588988
411.8934117,1.654118948
413.3863533,1.728922969
414.2471485,1.746940689
414.6058131,1.786454461
414.7851454,1.772169701
414.5161469,1.760459235
416.103238,1.79863914
415.9956386,1.783838119
415.9956386,1.773746514
415.9149391,1.76516865
417.4751303,1.80412645
418.2821258,1.796172303
418.6856235,1.817897286
419.8692169,1.827568407
419.6943678,1.813692451
419.0891213,1.794350208
421.3144724,1.82030551
422.7206008,1.833455177
422.8252114,1.820280026
424.3957278,1.830366534
425.8813331,1.837134408
426.0830819,1.8290401
427.495324,1.8290401
428.2686947,1.856581771
428.6385676,1.846350005
428.7730668,1.836338493
430.2892401,1.840845494
430.7233059,1.835347353
431.7320502,1.854689595
432.1355479,1.841696654
433.2115419,1.855880965
433.794372,1.837753453
434.260636,1.84691065
435.0609065,1.855951046
435.6325283,1.83864114
436.4971663,1.828169098
437.2465192,1.841304203
437.8421587,1.848952999
439.4792067,1.84590149
440.0710033,1.847751617
441.0931976,1.842033041
442.3911153,1.829355462
442.1461345,1.818558046
442.2229913,1.841584525
443.8369822,1.828409374
444.7784769,1.811489117
445.0474754,1.825045506
446.4885387,1.81110948
447.5132949,1.800470579
447.602961,1.815794868
449.1785236,1.793689448
450.3467456,1.796116239
450.9077996,1.785640192
451.4457966,1.776269416
452.6870325,1.787033794
454.193424,1.783978281
455.8074149,1.783978281
457.44062,1.781555494
458.463775,1.777005262
459.8423922,1.782436508
460.2074616,1.775668725
461.8329811,1.778876414
463.3393726,1.777881269
464.8572926,1.782276323
466.5673545,1.783978281
468.1813454,1.783978281
469.7953363,1.783978281
471.4093273,1.78036913
472.518946,1.777005262
