WL,K_CAR
488.8136239,0.757075993
488.817252,0.761028934
488.8208801,0.764981876
488.8245083,0.768934817
488.8281364,0.772887759
488.8317645,0.7768407
488.9440352,0.781781877
489.1649484,0.787711289
489.1685766,0.791664231
489.1722047,0.795617172
489.4076557,0.7000054
489.4110571,0.703711283
489.4146852,0.707664224
489.4183133,0.711617166
489.4219415,0.715570107
489.4255696,0.719523049
489.4291977,0.72347599
489.4328259,0.727428932
489.436454,0.731381873
489.4400822,0.735334814
489.4437103,0.739287756
489.4473384,0.743240697
489.5596091,0.748181874
489.7805223,0.754111287
489.7841505,0.758064228
489.7877786,0.762017169
489.7914067,0.765970111
490.0162001,0.658746573
490.0196014,0.662452456
490.0232296,0.666405397
490.0268577,0.670358339
490.0304858,0.67431128
490.034114,0.678264222
490.0377421,0.682217163
490.0413703,0.686170105
490.0449984,0.690123046
490.1573447,0.695146576
490.378409,0.701240694
490.3820372,0.705193636
490.3856653,0.709146577
490.3892935,0.713099519
490.3929216,0.71705246
490.3965497,0.721005402
490.4001779,0.724958343
490.403806,0.728911285
490.5419776,0.63295363
490.6428851,0.637252454
490.6465132,0.641205395
490.6501414,0.645158337
490.6537695,0.649111278
490.7661158,0.654134808
490.9871802,0.660228926
490.9908083,0.664181868
490.9944365,0.668134809
490.9980646,0.672087751
491.0016927,0.676040692
491.0562962,0.6298901
491.2741053,0.620699511
491.2777335,0.624652453
491.6118244,0.636511277
491.6154525,0.640464219
491.6190807,0.64441716
491.7697995,0.632558336
491.8434205,0.536699505
491.8470486,0.540652446
491.8506767,0.544605388
491.8543049,0.548558329
491.857933,0.552511271
491.8615612,0.556464212
491.8651893,0.560417154
491.8688174,0.564370095
491.8724456,0.568323037
491.8760737,0.572275978
491.8797018,0.57622892
491.88333,0.580181861
491.8869581,0.584134803
491.8905863,0.588087744
491.8942144,0.592040686
491.8978425,0.595993627
491.9014707,0.599946569
491.9050988,0.60389951
491.9087269,0.607852452
491.9123551,0.611805393
492.0246258,0.61674657
492.0881685,0.627287747
492.245539,0.622675982
492.4519648,0.495440678
492.4553662,0.499146561
492.4589944,0.503099502
492.4626225,0.507052444
492.4662506,0.511005385
492.4698788,0.514958327
492.4735069,0.518911268
492.477135,0.52286421
492.4807632,0.526817151
492.5930339,0.531758328
492.8139471,0.53768774
492.8175752,0.541640682
492.8212034,0.545593623
492.8248315,0.549546565
492.8284596,0.553499506
492.8320878,0.557452448
492.8357159,0.561405389
492.839344,0.565358331
492.8429722,0.569311272
492.8466003,0.573264214
492.8502284,0.577217155
492.8538566,0.581170097
492.8574847,0.585123038
492.8611129,0.58907598
492.864741,0.593028921
493.0679922,0.462334793
493.0713936,0.466040676
493.0750218,0.469993617
493.0786499,0.473946559
493.082278,0.4778995
493.0859062,0.481852442
493.0895343,0.485805383
493.2019562,0.490911266
493.4231717,0.49717009
493.4267999,0.501123032
493.430428,0.505075973
493.4340561,0.509028915
493.4376843,0.512981856
493.4413124,0.516934798
493.4449405,0.520887739
493.6846999,0.429970085
493.6883281,0.433923026
493.6919562,0.437875968
493.6955843,0.441828909
493.6992125,0.445781851
493.7028406,0.449734792
493.7064687,0.453687734
493.7100969,0.457640675
494.0369315,0.461593617
494.0405597,0.465546558
494.0441878,0.4694995
494.047816,0.473452441
494.4352203,0.426017143
494.6561336,0.431946556
494.6597617,0.435899497
494.9466869,0.396370082
494.950315,0.400323024
494.9539431,0.404275965
494.9575713,0.408228907
494.9611994,0.412181848
494.9648275,0.41613479
494.9684557,0.420087731
495.2952903,0.424040673
495.567703,0.368699492
495.5713311,0.372652433
495.5749592,0.376605375
495.5785874,0.380558316
495.5822155,0.384511258
495.5858436,0.388464199
495.5894718,0.392417141
495.9163064,0.396370082
495.9199346,0.400323024
495.9235627,0.404275965
496.0800765,0.340040666
496.1923472,0.344981843
496.1959753,0.348934785
496.1996035,0.352887726
496.2032316,0.356840668
496.2068597,0.360793609
496.2104879,0.364746551
496.5373225,0.368699492
496.5409507,0.372652433
496.5445788,0.376605375
496.8134766,0.317434782
496.8169914,0.321264194
496.8206195,0.325217136
496.8242477,0.329170077
496.8278758,0.333123019
496.831504,0.33707596
497.1116264,0.29013478
497.1583386,0.341028902
497.1619668,0.344981843
497.1655949,0.348934785
497.4366469,0.292111251
497.4402751,0.296064192
497.4439032,0.300017134
497.4475314,0.303970075
497.4511595,0.307923017
497.563279,0.312699488
497.7838899,0.318299488
497.787518,0.32225243
497.9512881,0.265923013
498.0635588,0.27086419
498.0671869,0.274817132
498.070815,0.278770073
498.0744432,0.282723015
498.0780713,0.286675956
498.404906,0.290628898
498.4085341,0.294581839
498.4121622,0.298534781
498.6800397,0.238252423
498.6836678,0.242205365
498.687296,0.246158306
498.6909241,0.250111248
498.6945522,0.254064189
498.6981804,0.25801713
498.810451,0.262958307
499.0313643,0.26888772
499.0349924,0.272840661
499.3137542,0.224417128
499.3173824,0.228370069
499.4296531,0.233311246
499.6505663,0.239240658
499.6541944,0.2431936
499.6578226,0.247146541
499.9474688,0.210581833
499.951097,0.214534774
500.0633676,0.219475951
500.4655869,0.188181831
500.5775553,0.192793596
500.5811834,0.196746538
500.5848115,0.200699479
500.6970822,0.205640656
500.9179954,0.211570068
500.9216236,0.21552301
500.9252517,0.219475951
501.0926499,0.167099476
501.2049206,0.172040653
501.2085487,0.175993595
501.2121769,0.179946536
501.215805,0.183899478
501.5426397,0.187852419
501.5462678,0.191805361
501.5498959,0.195758302
501.8286578,0.147334769
501.8322859,0.15128771
501.835914,0.155240652
501.8395422,0.159193593
501.9518129,0.16413477
502.1727261,0.170064183
502.4059347,0.130699474
502.4625991,0.133746533
502.4662272,0.137699474
502.5024935,0.141998298
502.7978238,0.146840651
502.801452,0.150793593
503.0958602,0.11941712
503.0994883,0.123370061
503.1031164,0.127323003
503.4301778,0.131523003
503.433806,0.135475945
503.7307085,0.106817119
503.7343367,0.11077006
503.8466073,0.115711237
504.0675206,0.121640649
504.3680512,0.096934765
504.4803219,0.101875942
504.7012351,0.107805354
505.0099291,0.091993588
505.3367638,0.09594653
505.3403919,0.099899471
505.5440715,0.087052411
505.9795487,0.091993588
506.1868564,0.08309947
506.8296413,0.079146528
507.5774406,0.072228881
507.5810687,0.076181822
508.2202255,0.068275939
508.5470602,0.072228881
508.9698389,0.063334762
509.1898451,0.068275939
509.83263,0.064322998
510.1522084,0.060370056
510.8639279,0.056064174
511.7646129,0.056417115
511.8678132,0.051475938
512.944866,0.051146526
513.7289164,0.048511232
514.7327528,0.045546526
515.8589956,0.045151232
516.3726793,0.041395937
517.460687,0.041264173
518.3203034,0.038793584
519.3409185,0.035664172
519.5047893,0.038134761
520.6871588,0.035170054
521.4942681,0.034181819
522.6348132,0.032600642
523.4842004,0.030722995
524.6697445,0.031217113
525.8546839,0.031052407
