WL,K_LMA
784.4610701,0.098929063
785.9761075,0.098631199
787.4911449,0.098631199
789.0061824,0.098631199
790.5212198,0.098631199
792.0362573,0.098631199
793.5512947,0.098631199
795.0663322,0.098631199
796.5813696,0.098631199
798.0964071,0.098482267
