Site,Lat,Lon,Color,VWC,SWC_sat,SWC,ID,WL,Albedo,Ref
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1902.602368,0.4989400691,49.89400691
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1935.705434,0.4881469665,48.81469665
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1955.559364,0.4809568381,48.09568381
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1985.445725,0.4796952039,47.96952039
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2022.134627,0.4927030875,49.27030875
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2058.757613,0.4997587471,49.97587471
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2088.643974,0.4984971129,49.84971129
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2135.114826,0.4948150394,49.48150394
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2145.002241,0.4876486408,48.76486408
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2158.145912,0.4745221083,47.45221083
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2184.551902,0.4589830464,45.89830464
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2201.030928,0.4470390487,44.70390487
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2237.614364,0.4505233738,45.05233738
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2257.61331,0.4564281383,45.64281383
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2287.433754,0.4492142801,44.92142801
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2320.589554,0.4431829567,44.31829567
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2350.396815,0.4347786537,43.47786537
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,2366.95494,0.4299773249,42.99773249
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,456.2317083,0.09166952303,9.166952303
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,482.8222638,0.09279668838,9.279668838
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,519.5243494,0.1069950167,10.69950167
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,549.648008,0.127161389,12.7161389
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,556.4900994,0.1450022411,14.50022411
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,570.0292667,0.1675890527,16.75890527
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,590.4105255,0.2080167163,20.80167163
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,610.5808527,0.2293972632,22.93972632
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,647.4411369,0.2578809292,25.78809292
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,684.2618715,0.2827932607,28.27932607
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,727.7137659,0.3064993277,30.64993277
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,764.4554012,0.3242689904,32.42689904
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,817.7024283,0.3324755451,33.24755451
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,870.9626388,0.3418725446,34.18725446
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,937.551085,0.3548092388,35.48092388
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,970.9046326,0.3666345875,36.66345875
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1027.566114,0.3831663459,38.31663459
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1087.510217,0.3961188599,39.61188599
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1144.105782,0.4066983943,40.66983943
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1223.996098,0.4207938935,42.07938935
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1283.847918,0.425413294,42.5413294
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1323.713977,0.4253183748,42.53183748
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1356.869776,0.4192870514,41.92870514
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1376.605057,0.4013829198,40.13829198
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1402.931948,0.3787011891,37.87011891
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1429.469771,0.3750665753,37.50665753
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1469.401745,0.3809238801,38.09238801
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1509.412819,0.3939238537,39.39238537
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1539.470562,0.408138002,40.8138002
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1566.179766,0.4199791705,41.99791705
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1606.072191,0.4222651409,42.22651409
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1655.944314,0.4257178264,42.57178264
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1722.387745,0.4255596277,42.55596277
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1782.147283,0.4218459145,42.18459145
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1825.309147,0.4193621958,41.93621958
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1861.668468,0.4026089593,40.26089593
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1874.746223,0.3835302028,38.35302028
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1887.903077,0.371594115,37.1594115
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1911.052812,0.3620151871,36.20151871
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1920.821578,0.3441347852,34.41347852
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1927.136341,0.3143578453,31.43578453
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1940.227279,0.2964695336,29.64695336
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1953.305033,0.277390777,27.7390777
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,1990.020302,0.2927795502,29.27795502
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,2010.216996,0.3165409866,31.65409866
Watkinsville,33.8629,-83.4088,8,0.19,0.424253,0.08060807,5,2047.143196,0.3509768766,35.09768766
